name,category,description,url
Amit,Victims,Provide PTSD treatment to children and families affected by the terror attacks,https://amitchildren.org/help-the-children-of-sderot/
Friends who Rescue,Victims,A group of volunteers helping bring missing Israeli civilians back to their families,https://www.jgive.com/new/en/ils/donation-targets/110214?fbclid=PAAab7EYQx0DtBUZPMfACzKE5-Y3Ktw0gTEPgRSIQjRCCLJrYyLp83CbTnQKg_aem_AYs17U_xGlOP-xGu1GhewzYs-ue4bLqAwoqIVA_SxthPeynBwkHOEn4XdgWkh7S3RUM
Rish La Kish,Victims,Supporting the Israeli Citizens & Food Ecosystem,https://onkaiten.com/donations/israel/rishlakish
Jewish Agency,Victims,"Fund for Victims of Terror. Provide immediate-  critical financial assistance to victims and their families
",https://www.jafina.org/crisis-in-israel/
Leket,Victims,Food rescue operation: will provide 320- 000 meals to the families affected,https://secured.israeltoremet.org/en/pay/leket2?projectid=2682
Adopt-A-Safta,Victims,Food deliveries to isolated elders,https://www.jgive.com/new/en/ils/donation-targets/47225
JNF,Victims,Support evacuation-  emergency housing-  psychological treatment-  and more,https://my.jnf.org/gaza-emergency/Donate
Latet,Victims,Aiding the people of Israel with food and hygiene products,https://www.latet.org.il/en/
Culture of Solidarity,Victims,Helping minorities affected by the attacks (foreign workers-  Beduin camps-  among others) *Hebrew link*,https://meshulam.co.il/purchase?b=348ae8065e892557f96e235a7074b2bf
Kibbutz Be’eri,Affected communities,Help rebuild Kibbutz Be’eri,https://giveback.co.il/project/75023
Kibbutz Erez,Affected communities,Help rebuild Kibbutz Erez,https://giveback.co.il/project/74934
Kibbutz Holit,Affected communities,Help rebuild Kibbutz Holit,https://my.israelgives.org/en/fundme/kibbutzholit?fbclid=IwAR0fLx56ja2wzHrje8hNZeOI8W4WflQP4Z-rRjkH6PJ1Tdphrt2hJM86Wmk_aem_AQrbqyQ8ixuib7idXuBhjbpphwM48ORwqBYATTF-pR7SgiRd9PpIhz9e54T8VxNKzeY
Kibbutz Kissufim,Affected communities,Help rebuild Kibbutz Kissufim,https://my.israelgives.org/en/fundme/Kissufim
Kibbutz Magen,Affected communities,Help rebuild Kibbutz Magen,https://my.israelgives.org/en/fundme/KibbutzMagen
Kibbutz Mefaslim,Affected communities,Help rebuild Kibbutz Mefaslim,https://my.israelgives.org/en/fundme/mefalsim
Kibbutz Nahal Oz,Affected communities,Help rebuild Kibbutz Nahal Oz,https://giveback.co.il/project/74986
Kibbutz Nirim,Affected communities,Help rebuild Kibbutz Nirim,https://my.israelgives.org/en/fundme/Nirim
Kibbutz Nir Oz,Affected communities,Help rebuild Kibbutz Nir Oz,https://my.israelgives.org/en/fundme/kibbutzniroz
Kibbutz Nir Yitzchak,Affected communities,Help rebuild Kibbutz Nir Yitzchak,https://www.jgive.com/new/en/ils/donation-targets/110252/about
Kibbutz Reim,Affected communities,Help rebuild Kibbutz Reim,https://my.israelgives.org/en/fundme/Reim
Kibbutz Sufa,Affected communities,Help rebuild Kibbutz Sufa,https://my.israelgives.org/en/fundme/Sufa
Netiv HaAsara,Affected communities,Help rebuild Netiv HaAsara,https://my.israelgives.org/en/fundme/NetivHaAsara
Kfar Azza,Affected communities,Help rebuild Kfar Azza,https://giveback.co.il/project/74858
FIDF,Army and Soldiers,The fastest and most direct way to give meaningful support to our brothers in the IDF,https://support.fidf.org/site/Donation2?df_id=4040&mfc_pref=T&4040.donation=form1&s_src=ORG_FIDF_HP_20231011_EC23OCTBannerImage&s_subsrc=2023_HP_FIDFHQNational_EC23OCTBannerImage-Donate&_gl=1*i6nfpd*_ga*NTU2MzE1ODM2LjE2OTcxMTY1Mjg.*_ga_1C9D2S1P8N*MTY5NzExODU2OC4xLjEuMTY5NzExODU5NS4wLjAuMA..
Overwolf,Army and Soldiers,Fund essential gear & supplies for IDF soldiers battling Hamas,https://www.overwolf.com/homesupport/
Israel Reserve Fund,Army and Soldiers,Help Israeli Soldiers Return Home,https://secure.givelively.org/donate/the-giving-back-fund-inc/help-israeli-soldiers-return-home
MDA,Medical,Help equip MDA to save lives under fire!,https://www.ifmda.org.il/en/crowdfunding-donate?id=75
United Hatzalah,Medical,Donate critical equipment for emergency care,https://israelrescue.org/donate/
ZAKA,Medical,Our volunteers are in urgent need of safety equipment-  medical supplies-  first aid kits-  and more,https://give.zakaworld.org/campaign/israel-needs-stronger-zaka/
